설문번호,그룹번호,설문문항번호,설문문항
603,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
603,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
603,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
603,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
603,24,1,"(필수) 본 &quot;시설물 정기안전점검(토목)&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
603,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
603,26,8,교과목 : 교과목 : 법령 및 지침 해설
603,26,9,교과목 : 안전관리
603,26,10,교과목 : 보고서 작성요령
603,26,11,교과목 : 시설물 통합정보관리시스템
603,26,12,교과목 : 절토사면 및 옹벽
603,26,13,교과목 : 콘크리트 비파괴 이론 및 실습
603,26,14,교과목 : 시설물의 재료특성(콘크리트･토질･강재)
603,26,15,교과목 : 대가산정 요령
603,26,16,교과목 : 시설물별 현장조사 및 상태평가(교량･터널･댐･상수도･항만)
603,26,17,교과목 : 시설물 유지관리(교량･터널･댐･상수도･항만)
605,1,1,교육만족도 설문지입니다
605,1,2,성별
605,1,3,직급
605,1,4,근무연수
605,1,9,직렬(직종)
605,1,10,근무처
605,6,1,교과목별 만족도 조사입니다. 
605,6,2,강의내용‧스킬
605,6,3,교육자료
605,9,1,교육동기 및 참여정도에 대한 조사입니다.
605,9,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
605,9,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
605,9,7,귀하의 업무와 교육내용이 관련이 있습니까?
605,10,1,"교육시설(강의실, 분임토의실 등)에 대해 만족하십니까?"
605,10,2,교육시설 및 환경에 관한 만족도 조사입니다.
605,10,3,급식의 질 및 위생상태에 대해 만족하십니까?
605,11,1,이 과정 강의는 학습자의 흥미를 이끌어내는데 충분하였습니까?
605,11,2,교육운영에 관한 만족도 조사입니다.
605,11,3,본 과정의 교육내용 및 교과편성은 교육목표에 맞춰 잘 편성되었습니까?
605,11,4,이 과정의 교육인원은 적절하였습니까?
605,11,5,이 과정의 교육기간은 적절하였습니까?
605,11,6,"이 과정의 교수방법(강의식, 체험식, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
605,11,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
605,12,11,교육효과에 관한 만족도 조사입니다.
605,12,12,학습한 내용은 직무 활용 또는 자기개발에 도움이 됩니까?
605,12,13,학습한 내용은 본인의 역량을 높이는데 도움이 될 것 같습니까?
605,12,14,본 교육과정을 통해 귀하의 교육목표를 달성하셨습니까?
605,12,15,이 과정을 다른 동료에게 추천하시겠습니까?
605,13,1,"귀하는 본 교육과정에서 새롭게 학습한 내용을 잘 이해하여, 본인의 지식·역량으로 만들었습니까?"
605,13,3,본 교육과정의 교육내용에 대한 학습이해도를 더 높이기 위해서는 교육훈련의 어느부분이 더 강화되어야 한다고 생각하십니까? (중복응답 가능)
605,13,4,본 과정의 교육내용에 대한 교육생의 학습이해도를 파악하기 위한 문항입니다. 
605,14,1,[설문종료] 이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
615,1,1,사회복지법인 및 시설관리실무 과정의 현업적용도 측정 설문을 시작합니다. 
615,1,3,직급
615,1,4,근무연수
615,1,9,직렬(직종)
615,1,10,근무처
615,1,11,현재업무 담당기간
615,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
615,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
615,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
615,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
615,18,3,교육 이수 후 새롭게 습득한 사회복지법인 및 시설관리 실무에 필요한 지식･스킬･기술을 실제 업무영역 전반에 걸쳐 활용하였다.
615,18,4,부산시 사회복지법인‧시설 업무 가이드에 대해 명확하게 이해하여 업무전반에 걸쳐 명확하게 적용하였다.
615,18,5,"법인･시설의 현지조사‧감독시 필요한 주요 지적사례･ 지도감독 방안을 숙지하여, 실제업무에 적극 활용하였다."
615,18,6,"재무회계규칙을 숙지하고, 이를 준수하여 사회복지법인 및 시설과 관련된 예산‧회계를 정확히 처리하였다."
615,18,7,"보조금･후원금의 모집･집행기준에 대해 충분히 학습하여,  정확한 절차와 기준에 맞추어 업무처리를 하였다."
615,18,8,"행정처분의 기준, 행정쟁송 사례 등 행정처분 실무에 대하여 숙지하여, 해당사례 발생시 적절히 대응하였다."
615,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
615,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
615,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
615,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
615,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
615,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
615,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
615,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
615,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
615,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
615,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
615,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
615,24,1,"(필수) 본 &quot;사회복지법인 및 시설관리실무&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
615,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
615,26,8,교과목 : 사회복지법인･시설 관리감독의 이해
615,26,9,교과목 : 법인관리
615,26,10,"교과목 : 예산, 회계 계약"
615,26,11,교과목 : 시설관리
615,26,12,교과목 : 보조금
615,26,13,교과목 : 후원금
615,26,14,교과목 : 인사관리
615,26,15,교과목 : 사회복지법인･시설 관리감독의 실제
615,26,16,교과목 : 행정처분 실무
615,26,17,교과목 : 사회복지의 인권보장과 존중
676,1,1,일반직 신규임용자과정의 현업적용도 측정 설문을 시작합니다. 
676,1,3,직급
676,1,4,근무연수
676,1,9,직렬(직종)
676,1,10,근무처
676,1,11,현재업무 담당기간
676,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
676,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
676,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
676,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
676,18,3,교육후 새로 습득한 신규공무원에 필요한 지식･기술을 실제 업무영역 전반에 활용하였다.
676,18,4,"공무원의 기본소양과 역할에 대해 숙지하여, 이를 현업에 내재화하여 공직을 수행하였다."
676,18,5,"부산시 비전과 시정에 대해 잘 알게 되었으며, 이를 업무 전반에 착안하여 진행하였다."
676,18,6,"회계‧예산에 대한 실무지식를 숙지하여, 현업에서 회계 ‧예산 업무시 수칙을 준수하였다"
676,18,7,"행정‧민원실무 및 보고서 작성법을 습득하여, 공문서 작성시 간결･명확한 보고가 되었다"
676,18,8,"민원 응대시 준수사항을 숙지하여, 현장에서 상황에 맞게 대응할 수 있었다. / 부산시의 건설사업 관리에 대한 기본지식을 습득하여 향후 해당업무 수행시 보다 쉽게 적응할 수 있었다. (택1)"
676,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
676,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
676,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
676,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
676,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
676,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
676,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
676,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
676,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
676,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
676,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
676,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
676,24,1,"(필수) 본 &quot;일반직 신규임용자&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
676,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
676,26,8,교과목 : 새내기와 함께하는 부산 시정이야기
676,26,9,교과목 : 부산가치공감(지방행정혁신과 실행)
676,26,10,교과목 : 보고서 작성실무
676,26,11,교과목 : 행정업무 운영실무
676,26,12,교과목 : 지방예산실무
676,26,13,교과목 : 민원실무/부산형 건설사업 관리(택1)
676,26,14,교과목 : 회계실무
676,26,15,교과목 : 공무원 인사제도의 이해
676,26,16,교과목 : e호조 시스템 교육
676,26,17,교과목 : 실무평가 및 공문서 작성 피드백
676,26,18,교과목 : 선배공무원과의 대화
677,1,1,지방재정실무과정의 현업적용도 측정 설문을 시작합니다. 
677,1,3,직급
677,1,4,근무연수
677,1,9,직렬(직종)
677,1,10,근무처
677,1,11,현재업무 담당기간
677,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
677,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
677,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
677,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
677,18,3,교육 후 새롭게 습득한 재정실무에 대한 지식･기술을 실제 업무영역 전반에 활용하였다.
677,18,4,"지방재정의 세입･세출 흐름을 이해하고, 항시 이를 유념하여 재정을 거시적으로 다루었다."
677,18,5,"예산안의 편성‧심의(추경･결산)를 위한 원칙을 숙지,이를 준수하여 해당 업무를 추진했다."
677,18,6,"회계지출･예산집행의 실무절차를 숙지하고, 이를 현업업무에 적극적으로 활용하였다."
677,18,7,"계약에 필요한 원칙･절차를 알게 되어, 그 기준에 맞추어 실무를 명확하게 수행하였다."
677,18,8,"부산시 재정운영체계(재정혁신기본계획)에 맞춰, 소속기관의 재정사업을 진행하였다."
677,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
677,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
677,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
677,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
677,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
677,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
677,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
677,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
677,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
677,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
677,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
677,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
677,24,1,"(필수) 본 &quot;지방재정실무&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
677,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
677,26,8,&lt; 교과목 : 지방재정의 이해 &gt;  ---- 지방재정의 세입과 세출 흐름 이해
677,26,9,"&lt; 교과목 : 예산실무 &gt;  ---- - 예산안의 편성, 심의, 집행 등"
677,26,10,"&lt; 교과목 : 회계실무 &gt;  ---- -- 계약,지출,결산 및 실무절차"
677,26,11,&lt; 교과목 :부산시 재정운용체계 &gt;  ---- 민선7기 재정혁신기본계획 및 재정사업 절차
678,1,1,재난안전실무자과정의 현업적용도 측정 설문을 시작합니다. 
678,1,3,직급
678,1,4,근무연수
678,1,9,직렬(직종)
678,1,10,근무처
678,1,11,현재업무 담당기간
678,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
678,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
678,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
678,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
678,18,3,교육후 새로 습득한 재난안전실무자에 필요한 지식･기술을 실제 업무영역 전반에 활용하였다.
678,18,4,국가재난관리체계 및 재난･안전관리 기본법을 이해하여 재난업무시 정확히 적용하였다.
678,18,5,"지자체의 재난발생시 대응절차 및 재난복구체계를 숙지하고, 이를 바탕으로 업무를 추진하였다."
678,18,6,"위기관리 매뉴얼 제작시 교육에서 배운 작성요령을 준수하였고, 매뉴얼을 숙달하여 항시 업무에 활용하였다. "
678,18,7,"신종 감염병 발생시 재난관리 체계 및 대응수칙을 학습하여,  감염병 확산시 학습한 내용에 의거 대응할 수 있었다."
678,18,8,"지진재해 및 해양오염사고의 대응체계와 발생사례를 파악하여, 유사사례 발생시 적절히 대처할 수 있었다.   "
678,18,9,"폭우, 빌딩풍 등 위험기상으로 인한 재난사례를 숙지하고, 기상으로 인한 재난발생에 적절히 대처할 수 있었다."
678,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
678,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
678,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
678,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
678,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
678,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
678,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
678,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
678,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
678,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
678,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
678,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
678,24,1,"(필수) 본 &quot;재난안전실무자&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
678,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
678,26,8,교과목 : 국가 재난관리 체계의 이해 및 정책방향
678,26,9,교과목 : 국가재난 수습 및 복구 정책
678,26,10,교과목 : 신종 감염병 대응 체계의 이해
678,26,11,교과목 : 위기관리 매뉴얼 숙달
678,26,12,교과목 : 위험기상과 재난대비
678,26,13,교과목 : 지진재해 대책
678,26,14,교과목 : 대규모 해양오염사고 대응
679,1,1,토지행정 및 공간정보활용 과정의 현업적용도 측정 설문을 시작합니다. 
679,1,3,직급
679,1,4,근무연수
679,1,9,직렬(직종)
679,1,10,근무처
679,1,11,현재업무 담당기간
679,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
679,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
679,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
679,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
679,18,3,교육후 새로 습득한 지적행정 업무에 필요한 지식･기술을 실제 업무영역 전반에 활용하였다.
679,18,4,‘토지행정 및 지적업무의 정책방향’에 대하여 명확히 이해하여 이를 토지·지적업무 전반에 반영하여 업무처리를 하였다.
679,18,5,‘지적재조사의 정책방향 및 추진 우수사례’을 숙지하여 지적재조사 사업추진시 적절히 활용하였다.
679,18,6,"‘드론을 활용한 지적데이터를 취득하고 후처리하는 방법’을 실습을 통해 습득하여, 실제 지적업무에 배운 내용을 활용하여 보았다."
679,18,7,"‘토탈스테이션을 이용하여 측량을 하고 결과처리’하는 사용법을 충분히 실습하여, 실제 업무에서 기기사용시에도 능숙하게 조작할 수 있었다."
679,18,8,‘정사영상 및 3D데이터를 지적재조사에 활용’하는 방안을 이해하여 해당 자료를 지적재조사 업무시 적극 이용하였다.
679,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
679,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
679,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
679,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
679,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
679,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
679,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
679,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
679,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
679,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
679,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
679,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
679,24,1,"(필수) 본 &quot;토지행정 및 공간정보 활용&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
679,26,7,■ (교과목 현업도) 교육과정내 편성된 각 교과목들이 현업적용에 얼마나 기여했는지를 평가하는 문항입니다. 각 교과목에 해당하는 현업적용 기여도를 입력 바랍니다. 
679,26,8,교과목 : 토지행정 · 지적업무 정책방향
679,26,9,교과목 : 지적 재조사 정책방향
679,26,10,교과목 : 지적재조사 추진 우수사례
679,26,11,교과목 : 지적재조사 조정금 공탁 실무
679,26,12,교과목 : 지하공간 통합지도 및 3차원 기반 공간정보 구축
679,26,13,교과목 : 드론 기초이론 및 신기술 동향
679,26,14,교과목 : 드론을 활용한 지적데이터 취득 및 후처리 실습
679,26,15,교과목 :토탈스테이션 측량 실습(성과검사 등)
679,26,16,교과목 : Power Magic 3D 프로그램 이해 및 운영 방법
679,26,17,교과목 : 정사영상 및 3D 데이터 지재조사 사업 활용 방안 실습
688,1,1,안전대진단 및 시설안전점검 과정의 현업적용도 측정 설문을 시작합니다. 
688,1,3,직급
688,1,4,근무연수
688,1,9,직렬(직종)
688,1,10,근무처
688,1,11,현재업무 담당기간
688,13,1,■ (현업적용여부) 교육받은 내용을 실제업무에  사용해보았는지 여부를 알아보는 문항입니다.
688,13,3,귀하가 본 교육에서 배운 지식･기술･역량을 현업복귀 후 적용한 시기는 언제입니까? 
688,13,4,(1번문항 ⑤ &apos;현업 미적용&apos; 선택자만 응답. 그외는 답변하지않고 다음 문항으로 진행바람) 교육과정에서 배운 내용을 현업에 미적용하게 된 이유는 무엇입니까?
688,18,1,■ (현업적용도 측정) 교육내용이 현업에 얼마나 자주 사용되었는지의 수준을 알아보기 위한 문항입니다.   각 문항(영역)별로 어느정도 현업적용하였는지를 체크해 주시기 바랍니다. 
688,18,3,교육 이수 후 새롭게 습득한 국가안전대진단 추진 및 시설안전점검 등 실무에 필요한 지식･스킬･기술을 실제 업무영역 전반에 걸쳐 활용하였다.
688,18,4,2021년 국가안전대진단의 기본계획을 명확히 숙지하여 이를  반영하여 국가안전대진단·안점점검 업무를 추진하였다.
688,18,5," 소방 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,18,6,"가스 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,18,7,"건축 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,18,8,"전기 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,18,9,"보건·위생 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,18,10,"승강기 안전점검분야 점검내용 및 사고사례·예방대책 등을 학습하여, 실제 안전점검 업무에 배운 내용을 활용하였다."
688,19,1,■ (학습이해도) 아래는  본 교육과정을 이수한 교육생의 학습이해도를 알아보기 위한 문항입니다. 정확하게 평가해주시기 바랍니다. 
688,19,5,"귀하는 본 교육에서 새로 학습한 내용을 잘 이해해, 본인의 지식･역량으로 만들었습니까?"
688,19,6,학습내용 이해 부족으로 본인의 지식･역량이 되지 못한 부분이 있다면 이유는 무엇입니까?
688,22,1,■ (조직환경) 다음은 귀하가 속한 조직의 근무환경과 현업적용의 상관관계를 알아보는 문항입니다.
688,22,3,귀하가 교육수료후 현업복귀시 학습한 내용을 업무에 적용토록 기회가 제공되었습니까?
688,22,4,"귀하가 학습한 내용을 업무에 적용했을 시 상사･동료의 지원(코칭,피드백)이 있었습니까?"
688,22,5,귀하가 교육에서 새롭게 습득한 지식･기술이 부서에  도움을 주고 있다고 생각하십니까?
688,22,9,귀하의 조직은 직무성과를 제고키 위해 새로운 방법을 시도 하는 것을 높이 평가합니까?
688,22,10,귀하의 조직은 교육받은 것을 적용해볼 수 있도록 개인에게 충분한 재량권･지원을 줍니까?
688,23,1,■ (성공･실패요인) 다음은 현업적용의 성공 및 실패요인을 알아보는 문항입니다.
688,23,3, 본 교육에서 학습한 내용을 업무에 적용시 가장 큰 성공요인은 무엇이라고 생각하십니까?
688,23,4,본 교육에서 학습한 내용을 업무에 적용시 가장 큰 장애요인은 무엇이라고 생각하십니까?
688,24,1,"(필수) 본 &quot;안전대진단 및 시설안전점검&quot;과정의 교육내용이 보다 더 현업에서 활용되기 위하여, 개선이 필요하다고 생각되시는 의견을 작성하여 주십시오.   (예시 :  추가･삭제되었으면 하는 교과목, 반영이 필요한 새로운 업무내용, 교육운영상 개선사항, 현업도 향상 아이디어 등)"
